berlin52_n510_uncorr-similar-weights_08.ttp; 59971; 2.88
berlin52_n510_uncorr-similar-weights_09.ttp; 70094; 2.61
berlin52_n510_uncorr-similar-weights_10.ttp; 79530; 2.44
berlin52_n51_bounded-strongly-corr_01.ttp; 2588; 0.00
berlin52_n51_bounded-strongly-corr_02.ttp; 4398; 0.00
berlin52_n51_bounded-strongly-corr_03.ttp; 4883; 0.00
berlin52_n51_bounded-strongly-corr_04.ttp; 7204; 0.00
berlin52_n51_bounded-strongly-corr_05.ttp; 9051; 0.00
berlin52_n51_bounded-strongly-corr_06.ttp; 7537; 0.01
berlin52_n51_bounded-strongly-corr_07.ttp; 9388; 0.01
berlin52_n51_bounded-strongly-corr_08.ttp; 9079; 0.01
berlin52_n51_bounded-strongly-corr_09.ttp; 11241; 0.01
berlin52_n51_bounded-strongly-corr_10.ttp; 7993; 0.01
berlin52_n51_uncorr_01.ttp; 1593; 0.00
berlin52_n51_uncorr_02.ttp; 3239; 0.00
berlin52_n51_uncorr_03.ttp; 4776; 0.00
berlin52_n51_uncorr_04.ttp; 3962; 0.00
berlin52_n51_uncorr_05.ttp; 4178; 0.00
berlin52_n51_uncorr_06.ttp; 5342; 0.00
berlin52_n51_uncorr_07.ttp; 6595; 0.00
berlin52_n51_uncorr_08.ttp; 7585; 0.00
berlin52_n51_uncorr_09.ttp; 8105; 0.01
berlin52_n51_uncorr_10.ttp; 8030; 0.00
berlin52_n51_uncorr-similar-weights_01.ttp; 681; 0.00
berlin52_n51_uncorr-similar-weights_02.ttp; 1958; 0.00
berlin52_n51_uncorr-similar-weights_03.ttp; 2660; 0.00
berlin52_n51_uncorr-similar-weights_04.ttp; 2728; 0.00
berlin52_n51_uncorr-similar-weights_05.ttp; 4012; 0.00
berlin52_n51_uncorr-similar-weights_06.ttp; 3856; 0.00
berlin52_n51_uncorr-similar-weights_07.ttp; 4830; 0.00
berlin52_n51_uncorr-similar-weights_08.ttp; 6776; 0.00
berlin52_n51_uncorr-similar-weights_09.ttp; 6725; 0.00
berlin52_n51_uncorr-similar-weights_10.ttp; 7297; 0.00
